id;dept_id_list;userid_list;to_all_user;progress_in_percent;title;single_title;single_url;cover_url;number_of_shards;complete_sharding;msg;execute_time;agent_id;type;status
1;Assimilated 江西省;3rd program robust;false;54665;value-added;circuit 桥;Shirt Handmade cutting-edge;Darussalam Mauritania;77469;false;巷;2021-06-08T04:21:04;62656;Text;SentSuccessfully
2;Checking 桥;Account up;true;57356;Nauru;侬 Cotton;Concrete virtual connect;Virtual content;19282;true;福建省 turquoise;2021-06-08T13:53:06;52993;Text;SentSuccessfully
3;reinvent;withdrawal;false;18461;payment;pixel International withdrawal;Kiribati;路 中心;23649;false;Korea networks firewall;2021-06-08T19:37:32;91124;File;SentSuccessfully
4;e-business 旁 PNG;Data Heard;true;29167;calculate bus Metrics;red;payment Avon;Berkshire Product;71380;true;ADP Human;2021-06-08T12:32:14;39062;ActionCard;Sending
5;Saint SCSI 旁;red;false;69891;info-mediaries;embrace;Salad;Granite Synchronised 巷;36492;true;feed navigating 新疆;2021-06-08T02:51:00;32692;Text;SentSuccessfully
6;Implementation Sports;Division;false;34485;sticky Fresh red;Mobility;engage purple;四川省 program Bedfordshire;24945;false;copy;2021-06-08T10:40:08;76810;Image;Sending
7;auxiliary;override compressing;false;13950;Plastic budgetary;Account protocol;Intelligent;index Table Bacon;94495;false;Sports Account;2021-06-08T04:51:45;38668;Oa;NotSentYet
8;holistic Fully-configurable;Movies;true;44137;evolve programming Integration;redundant;Beauty;四川省;20529;false;Buckinghamshire;2021-06-08T07:22:54;37477;Text;SentSuccessfully
9;Brunei;Bacon Persistent killer;false;3617;Computer HDD hack;Account solid Jewelery;中心 withdrawal matrix;Steel;71575;false;capacity Mandatory Technician;2021-06-08T12:07:20;97587;ActionCard;Sending
10;black metrics unleash;dedicated 路 Zambian;true;9181;discrete fresh-thinking;navigating;Shirt cultivate;24/7 driver;5440;false;Ruble;2021-06-09T00:48:07;58671;Text;NotSentYet
