id;userid_list;task_id;rsp_msg;status;progress_in_percent;invalid_user_id_list;forbidden_user_id_list;failed_user_id_list;read_user_id_list;unread_user_id_list;invalid_dept_id_list;withdraw
1;France grey 广东省;77372;Borders stable Macedonia;72204;13976;中心 Dynamic Movies;Computer Cotton Mobility;withdrawal Home Awesome;Bacon;paradigms Avon Chair;Accountability;true
2;湖北省 transmitting;27899;streamline;54274;59271;5th;needs-based;withdrawal Buckinghamshire Market;Money 街;embrace matrix time-frame;Customer Wooden Awesome;false
3;deposit Concrete;54246;Steel clicks-and-mortar;42562;78385;sky Samoa Automotive;violet;Toys 巷;orange Colombia Mandatory;Tactics 侬;Associate;true
4;compressing Technician wireless;61172;SMTP Small;92739;64683;network bandwidth;Samoa Identity 街;Lari optical;solution;Toys;deposit;true
5;invoice parse COM;80710;website Refined;97607;31094;metrics;Fantastic and innovative;Account;payment e-markets;Shoes;Steel;true
6;Dynamic Cheese;64303;Dominican Sharable relationships;1767;83932;action-items Syrian Awesome;Tasty Credit;Borders Berkshire;中心 Grocery;frictionless;Awesome Health;false
7;parsing Chair Burundi;95339;Small firewall User;4303;48996;robust;Buckinghamshire;Central Account Gorgeous;e-markets Boliviano;XSS;RSS Senior envisioneer;true
8;blockchains;70666;redundant local 香港;37156;40393;Computer applications maroon;天津市;compress website;Garden 街 旁;feed Borders maximized;real-time;true
9;桥 Bahrain Bacon;48517;navigating portals Wooden;42467;4514;online 街;Avon IB;overriding invoice Metal;Seychelles;Pizza;ADP yellow;false
10;strategize;28151;Quality Borders;82303;94633;Data Program;capacitor;Peso leading-edge Inverse;Jewelery;payment Auto 青海省;24/365 mission-critical;false
