id;space_id;file_id;file_name;file_size;file_type;storage_mode;url
1;withdrawal;online reboot virtual;Loan;Quetzal;澳门 EXE;OSS;https://弘文.com
2;Borders;connecting Bacon;SQL;paradigms Car SDD;payment;OSS;http://鹏飞.biz
3;Operations systems backing;甘肃省 plug-and-play e-tailers;of;街 中心 overriding;XML Buckinghamshire;OSS;https://伟泽.org
4;schemas Sleek Automotive;magenta;Supervisor;Intelligent Industrial;Refined;Dingtalk;http://子轩.biz
5;Music;back-end Shoes contingency;HDD International dynamic;District lavender;Borders utilisation;OSS;https://楷瑞.info
6;Brand;Fresh;programming;Bedfordshire;Metrics;Dingtalk;https://天宇.biz
7;fuchsia 路 visualize;executive;Gloves Dynamic 旁;Extended;街 Awesome;OSS;https://鸿煊.info
8;Kids Engineer;relationships;Reduced;Paradigm Focused;e-commerce;OSS;https://志泽.info
9;Liberia Home 路;Account groupware;invoice yellow;Handcrafted Granite Account;microchip Baby;OSS;https://耀杰.name
10;brand value-added;black up 路;桥 Avon;Bike;optimizing;Dingtalk;http://志泽.name
