id;title;cover_url;name;brand;model;specifications;is_export;supplier;supplier_address;supplier_capacity
1;Avon;Car online Hat;generating Interactions ROI;synthesizing Facilitator Small;ADP;collaboration Facilitator Music;true;Soap Markets Applications;Usability 栋;lime
2;global deposit 天津市;吉林省 Planner Chair;compress e-markets;Israeli Sleek;Bacon expedite Computers;eyeballs Interactions;true;Tasty deposit;Architect bricks-and-clicks bandwidth;eco-centric
3;1080p;violet;巷;Music Buckinghamshire;Refined Incredible Rubber;haptic 浙江省;true;Handcrafted;IB extend UAE;optimal Avon GB
4;Bike B2B driver;Kyat Computers;Avon;Suriname;Peso Leone open-source;THX;false;Accountability web;Chicken microchip Steel;Plastic Automotive
5;plug-and-play firewall 桥;application Industrial;hard;Beauty Avon Officer;synthesize;广东省 Engineer;true;Devolved;demand-driven 24/7 Silver;feed user-facing Czech
6;桥 customer compressing;loyalty efficient;hacking 江西省 Electronics;web-enabled Shirt maroon;Paraguay Account;Serbia Paradigm 巷;true;Libyan;mobile;Awesome 贵州省 e-business
7;Chief Kenyan;hack;Borders;synthesizing;街 Toys Lebanese;SDD;false;Operations withdrawal;Intelligent context-sensitive Books;Versatile secondary
8;Assistant mobile;International Officer open-source;Account;withdrawal;Lanka THX haptic;Down-sized array;true;Borders;hybrid;Lebanon Account Awesome
9;Concrete;Sleek 桥 neutral;黑龙江省;National;Producer;auxiliary Dollar microchip;false;cutting-edge calculate Chicken;Fantastic navigating 安徽省;white
10;enable 巷 auxiliary;Frozen Persistent;transform Plastic;payment;Gold efficient;Rustic;true;blue mindshare blue;侬 responsive;generating magenta
